Report Number,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Police Deployed,Latitude,Longitude
NCRB_32334,2022-02-27,10:21,Delhi,256,Kidnapping,62,Unknown,,4,28.80808131511707,77.03603950628205
NCRB_32335,2023-08-18,22:29,Delhi,138,Assault,53,F,Firearm,5,28.61655073364486,77.31746193978417
NCRB_32336,2022-05-27,19:44,Delhi,475,Burglary,18,M,Firearm,10,28.436616817936653,77.23049450693458
NCRB_32337,2023-03-04,00:15,Delhi,859,Burglary,54,M,Firearm,3,28.676093998864072,77.24891098265536
NCRB_32338,2023-05-23,02:55,Delhi,704,Burglary,24,M,Firearm,10,28.568130661206727,77.38478239625861
NCRB_32339,2022-12-21,17:13,Delhi,741,Theft/Robbery,24,M,Firearm,9,28.510653159831087,77.0754540416618
NCRB_32340,2022-10-15,05:30,Delhi,719,Kidnapping,61,Unknown,Knife,9,28.74668661721627,77.37930220549171
NCRB_32341,2023-11-28,19:08,Delhi,546,Burglary,43,Unknown,Firearm,6,28.71999070386848,77.2469387896117
NCRB_32342,2023-01-03,12:35,Delhi,950,Homicide,23,Unknown,Knife,7,28.774207432871528,77.19289441701223
NCRB_32343,2023-11-16,06:55,Delhi,558,Theft/Robbery,45,Unknown,Knife,3,28.612482517574648,77.32700953087418
NCRB_32344,2022-03-15,21:22,Delhi,178,Drug Offense,41,Unknown,Firearm,6,28.4591302905634,77.34695228961154
NCRB_32345,2023-01-18,00:17,Delhi,627,Assault,48,Unknown,,10,28.524420269476323,77.26604176964342
NCRB_32346,2022-03-31,11:14,Delhi,883,Homicide,35,Unknown,Unknown,8,28.57213596414551,77.21557608650406
NCRB_32347,2022-06-05,22:11,Delhi,380,Drug Offense,49,M,Knife,8,28.75940517006403,77.37813688540022
NCRB_32348,2022-08-08,20:32,Delhi,475,Assault,24,Unknown,,9,28.664700839275085,77.30458448649058
NCRB_32349,2023-10-16,00:08,Delhi,664,Drug Offense,19,Unknown,Unknown,10,28.74581488172651,77.10523099767369
NCRB_32350,2023-09-06,08:58,Delhi,627,Burglary,30,Unknown,Firearm,10,28.664470729882943,77.11885778096566
NCRB_32351,2023-01-22,19:50,Delhi,919,Burglary,65,F,Blunt Object,1,28.60712658893617,77.13305055854711
NCRB_32352,2022-04-12,18:46,Delhi,159,Theft/Robbery,61,Unknown,Unknown,8,28.527785042469823,77.2310048892761
NCRB_32353,2023-11-30,03:28,Delhi,373,Homicide,19,M,Blunt Object,10,28.510558096523635,77.33997313887956
NCRB_32354,2023-06-18,11:57,Delhi,611,Kidnapping,41,F,Unknown,9,28.75908203468961,77.27779510111245
NCRB_32355,2023-05-27,21:50,Delhi,421,Homicide,46,Unknown,Firearm,8,28.658607401053068,77.02390279582784
NCRB_32356,2022-12-13,00:22,Delhi,481,Homicide,27,M,Unknown,10,28.493314488084746,77.02712741685728
NCRB_32357,2023-05-10,11:23,Delhi,297,Homicide,45,M,Knife,7,28.712785933413816,77.3454853223745
NCRB_32358,2022-04-15,05:14,Delhi,643,Assault,28,M,Firearm,9,28.56610977417521,77.23489858135873
NCRB_32359,2023-12-28,21:21,Delhi,168,Burglary,49,M,Blunt Object,7,28.676034435903944,77.32513506571514
NCRB_32360,2023-10-07,13:38,Delhi,512,Kidnapping,57,M,Blunt Object,7,28.73361079695812,77.13826991285093
NCRB_32361,2022-06-27,13:29,Delhi,590,Theft/Robbery,50,M,Unknown,6,28.73615915487272,77.38102393252272
NCRB_32362,2022-12-16,02:17,Delhi,123,Kidnapping,49,F,Unknown,7,28.806934580579565,77.27214693635753
NCRB_32363,2023-10-05,20:38,Delhi,165,Theft/Robbery,58,Unknown,Blunt Object,2,28.74360755083757,77.26015355602206
NCRB_32364,2022-02-19,19:33,Delhi,577,Assault,53,Unknown,Firearm,10,28.758418764468235,77.08726808601533
NCRB_32365,2023-02-23,20:25,Delhi,701,Drug Offense,37,F,Firearm,8,28.56278842288308,77.36473932699326
NCRB_32366,2023-09-28,02:55,Delhi,169,Homicide,41,F,Firearm,1,28.73085094381107,77.22239466914988
NCRB_32367,2023-04-05,20:03,Delhi,862,Burglary,59,F,Unknown,8,28.55766555193312,77.28849921872597
NCRB_32368,2023-01-26,09:45,Delhi,467,Burglary,24,Unknown,Firearm,2,28.81102450386156,77.26647571899217
NCRB_32369,2023-01-15,08:36,Delhi,579,Theft/Robbery,48,Unknown,Unknown,8,28.52924336760178,77.03058998834106
NCRB_32370,2023-02-15,15:32,Delhi,420,Assault,55,Unknown,Firearm,1,28.45635593576909,77.11147411646603
NCRB_32371,2023-03-20,04:23,Delhi,582,Theft/Robbery,41,M,Unknown,0,28.75945829975009,77.1323283264868
NCRB_32372,2022-06-15,11:09,Delhi,436,Assault,21,Unknown,Blunt Object,2,28.647393588174392,77.24118878253921
NCRB_32373,2023-07-08,15:51,Delhi,154,Kidnapping,65,M,Blunt Object,2,28.76185340193635,77.19632395882095
NCRB_32374,2022-12-17,00:49,Delhi,115,Theft/Robbery,58,Unknown,,4,28.7835398382223,77.3453737626572
NCRB_32375,2023-05-31,05:14,Delhi,903,Assault,35,F,Knife,8,28.441673263467777,77.32731921785374
NCRB_32376,2023-07-16,22:03,Delhi,140,Homicide,20,M,Knife,7,28.529929742636835,77.13014704681629
NCRB_32377,2023-02-07,06:54,Delhi,465,Homicide,57,M,,5,28.70281183534861,77.26628604250469
NCRB_32378,2022-08-11,23:42,Delhi,636,Homicide,42,M,Blunt Object,2,28.43950909030149,77.37931065476015
NCRB_32379,2023-07-31,02:18,Delhi,243,Assault,58,Unknown,Knife,2,28.518771414648032,77.13735179145081
NCRB_32380,2022-08-31,14:08,Delhi,219,Homicide,65,Unknown,Knife,7,28.46788536345872,77.38234155655364
NCRB_32381,2022-02-13,05:43,Delhi,403,Drug Offense,41,F,Knife,2,28.69903168254672,77.1488380576454
NCRB_32382,2022-11-16,10:54,Delhi,428,Assault,56,Unknown,Knife,7,28.64841394676916,77.29080306487917
NCRB_32383,2023-05-23,21:28,Delhi,161,Theft/Robbery,29,F,Blunt Object,0,28.66323788342316,77.37979300851313
NCRB_32384,2023-09-16,12:51,Delhi,570,Kidnapping,61,Unknown,Knife,6,28.784677276250232,77.27203239493576
NCRB_32385,2023-06-30,03:53,Delhi,632,Theft/Robbery,34,F,,0,28.431559249745764,77.01952331172208
NCRB_32386,2023-10-05,09:40,Delhi,791,Kidnapping,46,M,Knife,4,28.796114893398336,77.15688045478029
NCRB_32387,2023-02-13,14:26,Delhi,164,Assault,59,M,,3,28.620425588568125,77.35293110617454
NCRB_32388,2023-08-31,00:34,Delhi,205,Drug Offense,29,Unknown,Blunt Object,7,28.45180782891462,77.14557908026136
NCRB_32389,2022-05-16,20:29,Delhi,100,Theft/Robbery,23,Unknown,Blunt Object,2,28.75030225717536,77.16272419944609
NCRB_32390,2023-11-23,10:20,Delhi,264,Assault,50,F,,9,28.80167643294289,77.38267989848767
NCRB_32391,2023-08-13,16:19,Delhi,258,Burglary,36,Unknown,,5,28.465112671278767,77.38302775326704
NCRB_32392,2023-04-24,07:43,Delhi,535,Assault,22,M,Knife,9,28.70852078001548,77.16284678157501
NCRB_32393,2022-06-10,03:39,Delhi,672,Theft/Robbery,43,M,,2,28.64229134286728,77.22899478439021
NCRB_32394,2022-09-24,03:35,Delhi,672,Theft/Robbery,21,M,Knife,1,28.516440538773995,77.33125726260862
NCRB_32395,2023-10-08,09:10,Delhi,561,Kidnapping,44,Unknown,Blunt Object,5,28.51674655603493,77.31659712261342
NCRB_32396,2022-10-20,01:11,Delhi,294,Assault,21,M,,2,28.43103022077674,77.07849384034935
NCRB_32397,2023-04-09,08:33,Delhi,932,Drug Offense,56,F,,1,28.79140569390165,77.39767688840043
NCRB_32398,2022-01-15,10:11,Delhi,960,Homicide,47,M,Blunt Object,8,28.500201285152773,77.08492264812458
NCRB_32399,2022-11-19,00:51,Delhi,251,Homicide,58,Unknown,,0,28.58356675186502,77.15870379559556
NCRB_32400,2022-01-23,23:02,Delhi,861,Homicide,45,F,Firearm,3,28.667182745136788,77.37855398980363
NCRB_32401,2022-04-18,04:21,Delhi,414,Homicide,25,F,Blunt Object,9,28.790281094588767,77.39014235578564
NCRB_32402,2022-08-22,18:04,Delhi,397,Burglary,31,M,Unknown,5,28.737188405641376,77.35685604637185
NCRB_32403,2022-09-06,08:17,Delhi,232,Theft/Robbery,61,M,Unknown,10,28.67854120558845,77.06964303970727
NCRB_32404,2022-02-24,08:24,Delhi,283,Homicide,24,Unknown,Firearm,7,28.485883232807588,77.14401497074785
NCRB_32405,2023-03-02,01:02,Delhi,431,Kidnapping,40,Unknown,Blunt Object,9,28.671478495812448,77.04254540939715
NCRB_32406,2023-10-09,12:35,Delhi,961,Kidnapping,26,Unknown,Blunt Object,4,28.74308475522084,77.08626338513152
NCRB_32407,2023-12-11,22:39,Delhi,659,Drug Offense,23,F,Firearm,3,28.716151833905325,77.24371480390599
NCRB_32408,2023-12-13,15:46,Delhi,383,Drug Offense,48,F,,1,28.65549544794193,77.23097606835515
NCRB_32409,2022-01-10,06:41,Delhi,217,Burglary,43,F,,7,28.67820707453717,77.24586776710805
NCRB_32410,2022-03-03,09:42,Delhi,322,Drug Offense,22,M,,1,28.60551360786145,77.12924372459476
NCRB_32411,2022-04-03,15:02,Delhi,606,Drug Offense,64,F,Blunt Object,1,28.713713007677324,77.22138933579906
NCRB_32412,2022-04-20,22:07,Delhi,678,Assault,21,M,Unknown,6,28.756511548680127,77.20092263619185
NCRB_32413,2023-12-05,11:13,Delhi,912,Kidnapping,23,F,Unknown,6,28.80321510773009,77.21347324287468
NCRB_32414,2023-01-08,05:43,Delhi,262,Kidnapping,35,F,Blunt Object,1,28.4732341539899,77.27713319826925
NCRB_32415,2022-02-24,09:18,Delhi,321,Kidnapping,54,F,Firearm,7,28.810767520321548,77.31410677031054
NCRB_32416,2023-12-30,20:00,Delhi,229,Drug Offense,40,M,Unknown,8,28.65994275991858,77.02333799290226
NCRB_32417,2022-11-22,22:17,Delhi,661,Kidnapping,25,M,,3,28.526978462111124,77.03790132746147
NCRB_32418,2023-01-05,00:34,Delhi,759,Burglary,42,F,Blunt Object,1,28.81280842829402,77.33268273216503
NCRB_32419,2022-01-03,02:33,Delhi,217,Burglary,26,Unknown,Knife,7,28.651422543026484,77.29998916356134
NCRB_32420,2023-03-23,06:06,Delhi,491,Homicide,54,F,,1,28.750547191316176,77.35082035944014
NCRB_32421,2022-08-16,18:19,Delhi,253,Theft/Robbery,35,M,Unknown,6,28.725069243368026,77.39468086172022
NCRB_32422,2022-02-20,23:36,Delhi,231,Kidnapping,27,M,Unknown,5,28.715424781882536,77.35254423284928
NCRB_32423,2023-08-09,09:51,Delhi,543,Homicide,28,F,Knife,4,28.476229773170456,77.09170837333579
NCRB_32424,2022-05-02,22:58,Delhi,444,Drug Offense,22,Unknown,Blunt Object,3,28.749179119758136,77.01715137725783
NCRB_32425,2022-09-30,10:42,Delhi,815,Kidnapping,40,M,Knife,3,28.654159642840284,77.02956554969464
NCRB_32426,2022-08-12,20:15,Delhi,269,Kidnapping,42,Unknown,Blunt Object,5,28.77882776996704,77.23165950096472
NCRB_32427,2022-09-13,03:56,Delhi,986,Drug Offense,51,M,Firearm,9,28.75158881401672,77.29880864929427
NCRB_32428,2023-10-13,16:45,Delhi,332,Kidnapping,33,F,Unknown,2,28.47945470189712,77.18747816140296
NCRB_32429,2022-12-12,09:29,Delhi,758,Kidnapping,37,Unknown,Unknown,1,28.47287564805416,77.30278923815058
NCRB_32430,2022-02-28,23:56,Delhi,168,Theft/Robbery,27,M,,3,28.75197394180426,77.10146584728663
NCRB_32431,2023-12-07,03:12,Delhi,299,Burglary,57,Unknown,,0,28.77610384951046,77.13153800850816
NCRB_32432,2023-02-05,15:31,Delhi,286,Assault,55,F,Knife,7,28.614138644854027,77.28492418319213
NCRB_32433,2023-04-28,02:15,Delhi,419,Kidnapping,58,M,Firearm,4,28.501470675845795,77.15072699877427
NCRB_32434,2023-09-15,05:22,Delhi,523,Drug Offense,22,F,Blunt Object,4,28.655574901132187,77.36701634854673
NCRB_32435,2022-01-15,07:57,Delhi,567,Theft/Robbery,27,F,,0,28.51086850696774,77.16303343147271
NCRB_32436,2023-08-17,01:43,Delhi,226,Assault,43,F,Blunt Object,6,28.685349311025284,77.13350421155675
NCRB_32437,2023-09-11,06:50,Delhi,562,Theft/Robbery,53,F,Firearm,0,28.6646592497747,77.26301484772277
NCRB_32438,2023-12-24,06:37,Delhi,426,Theft/Robbery,60,M,Knife,5,28.512256980580613,77.09172624319363
NCRB_32439,2022-02-07,13:25,Delhi,809,Assault,49,M,Unknown,3,28.774152153483275,77.08860746905272
NCRB_32440,2023-11-16,01:48,Delhi,714,Kidnapping,37,F,Blunt Object,7,28.681478227737664,77.298338259172
NCRB_32441,2022-12-16,15:38,Delhi,496,Theft/Robbery,51,F,,3,28.548683699514424,77.19017947985498
NCRB_32442,2023-06-14,05:11,Delhi,689,Kidnapping,55,M,,9,28.69284335956142,77.15135614520717
NCRB_32443,2022-03-29,06:04,Delhi,659,Theft/Robbery,39,M,Knife,4,28.677531933082573,77.03862220509217
NCRB_32444,2023-11-02,00:12,Delhi,255,Assault,38,F,Unknown,0,28.53131319036871,77.19965776370341
NCRB_32445,2022-03-25,00:57,Delhi,331,Kidnapping,18,M,Unknown,0,28.794296996651514,77.34794845105675
NCRB_32446,2022-02-10,14:22,Delhi,587,Assault,20,M,Knife,5,28.58717397706048,77.15452181180196
NCRB_32447,2023-07-17,09:29,Delhi,168,Kidnapping,32,M,Firearm,1,28.801520270805003,77.1377654792056
NCRB_32448,2022-06-15,03:55,Delhi,450,Assault,24,M,Blunt Object,2,28.539847848892723,77.34382987894371
NCRB_32449,2022-12-09,07:50,Delhi,580,Drug Offense,25,Unknown,Firearm,9,28.5419601184299,77.30810032421813
NCRB_32450,2022-08-12,07:35,Delhi,325,Theft/Robbery,53,M,Unknown,2,28.5150688719622,77.30617074419399
NCRB_32451,2023-04-19,01:38,Delhi,888,Drug Offense,18,M,Blunt Object,6,28.676028385633952,77.33865833881718
NCRB_32452,2022-11-12,20:24,Delhi,122,Burglary,28,Unknown,Unknown,8,28.659502611426262,77.05534571934471
NCRB_32453,2022-12-29,04:07,Delhi,889,Drug Offense,45,F,Blunt Object,6,28.68271166664272,77.29324161687579
NCRB_32454,2022-12-05,16:57,Delhi,880,Burglary,60,Unknown,Unknown,6,28.81075580245795,77.05538344661996
NCRB_32455,2023-01-11,13:17,Delhi,498,Theft/Robbery,37,F,Unknown,9,28.491203327702213,77.38533056294239
NCRB_32456,2023-12-21,09:41,Delhi,160,Assault,58,Unknown,,3,28.603614873522822,77.06430420914717
NCRB_32457,2023-02-08,07:22,Delhi,925,Theft/Robbery,51,Unknown,Firearm,6,28.682872657776613,77.2831940355743
NCRB_32458,2023-05-10,13:41,Delhi,160,Drug Offense,47,Unknown,Unknown,1,28.53515862148481,77.11284645835124
NCRB_32459,2022-07-28,18:44,Delhi,345,Homicide,45,F,,9,28.60771744506993,77.19560283813631
NCRB_32460,2023-02-13,06:07,Delhi,546,Burglary,33,Unknown,Unknown,5,28.74205217877739,77.23470092765787
NCRB_32461,2022-02-03,21:31,Delhi,766,Burglary,54,F,Knife,8,28.51368678037287,77.40818090825186
NCRB_32462,2023-11-14,00:47,Delhi,879,Kidnapping,18,F,Knife,1,28.73588053811562,77.0974025332535
NCRB_32463,2022-11-02,17:00,Delhi,741,Burglary,65,Unknown,,7,28.70375366985436,77.07157968750103
NCRB_32464,2022-03-10,18:50,Delhi,511,Drug Offense,42,M,,8,28.66180747806001,77.21024555420043
NCRB_32465,2022-06-08,14:57,Delhi,920,Burglary,54,M,Firearm,0,28.6942808789994,77.19002089617152
NCRB_32466,2022-09-09,21:54,Delhi,373,Assault,35,M,Knife,6,28.64579725809853,77.18179312294664
NCRB_32467,2023-12-19,12:36,Delhi,948,Kidnapping,38,F,Blunt Object,9,28.53859053008916,77.03642716456727
NCRB_32468,2023-02-02,23:42,Delhi,997,Kidnapping,23,Unknown,Unknown,1,28.568605503173977,77.19460543855793
NCRB_32469,2023-08-11,21:52,Delhi,197,Burglary,60,M,Blunt Object,0,28.592788830438376,77.18307354316494
NCRB_32470,2023-12-10,11:46,Delhi,562,Drug Offense,18,F,Knife,6,28.72226544835654,77.356420306525
NCRB_32471,2022-06-14,21:42,Delhi,375,Assault,36,Unknown,Firearm,5,28.54257649056093,77.32924325352428
NCRB_32472,2022-01-21,16:08,Delhi,834,Burglary,48,Unknown,,0,28.46765032558668,77.34863873230496
NCRB_32473,2022-04-21,23:04,Delhi,312,Assault,58,Unknown,Blunt Object,6,28.66336789288242,77.31083879126207
NCRB_32474,2023-09-22,12:32,Delhi,470,Kidnapping,37,Unknown,Unknown,3,28.461660382505453,77.17415419175111
NCRB_32475,2023-04-24,15:37,Delhi,325,Theft/Robbery,35,Unknown,Blunt Object,2,28.741703919716,77.37003032001746
NCRB_32476,2022-05-11,20:45,Delhi,476,Kidnapping,60,F,Knife,0,28.523595325604205,77.05603921251495
NCRB_32477,2022-06-12,16:34,Delhi,241,Homicide,61,F,,3,28.42468348659752,77.33472229264643
NCRB_32478,2023-01-03,13:20,Delhi,105,Kidnapping,62,F,Blunt Object,10,28.63842020550452,77.22435039326142
NCRB_32479,2022-04-10,08:28,Delhi,243,Drug Offense,58,Unknown,Firearm,8,28.64795439234245,77.37642433093778
NCRB_32480,2023-10-03,20:14,Delhi,187,Drug Offense,40,M,Firearm,0,28.50372677557996,77.02037202969872
NCRB_32481,2023-12-08,04:32,Delhi,327,Burglary,19,Unknown,Blunt Object,6,28.725306837206368,77.15352452823271
NCRB_32482,2022-02-21,14:05,Delhi,305,Kidnapping,34,M,,1,28.434972204130784,77.25879988177616
NCRB_32483,2022-07-09,05:18,Delhi,385,Drug Offense,31,M,Knife,9,28.599895389816503,77.28115054063184
NCRB_32484,2023-09-17,03:26,Delhi,198,Assault,61,Unknown,,1,28.46464995343788,77.04491955800748
NCRB_32485,2022-05-13,15:56,Delhi,293,Kidnapping,26,M,,5,28.813864410723827,77.15852993350371
NCRB_32486,2022-06-28,11:56,Delhi,488,Homicide,48,F,Firearm,7,28.614972930660187,77.29384245973559
NCRB_32487,2023-05-03,14:48,Delhi,924,Theft/Robbery,52,Unknown,Knife,6,28.65640354883123,77.35293218115369
NCRB_32488,2022-04-23,17:47,Delhi,867,Burglary,36,F,,5,28.563971192417213,77.13864080547054
NCRB_32489,2022-10-28,07:30,Delhi,265,Kidnapping,65,F,Blunt Object,3,28.720402102212034,77.38753162868633
NCRB_32490,2023-10-06,15:58,Delhi,737,Assault,35,M,Firearm,2,28.64645867974496,77.06547427253412
NCRB_32491,2022-09-28,19:59,Delhi,956,Drug Offense,27,Unknown,Blunt Object,8,28.67876788040565,77.36600696587833
NCRB_32492,2023-03-01,13:23,Delhi,707,Burglary,19,F,Firearm,3,28.479205953309283,77.4037650023973
NCRB_32493,2023-01-04,21:05,Delhi,486,Burglary,39,F,Blunt Object,0,28.507596462011865,77.00953947250126
NCRB_32494,2023-12-15,13:19,Delhi,975,Theft/Robbery,54,F,Firearm,7,28.7780081159643,77.37828209070682
NCRB_32495,2022-12-13,22:29,Delhi,404,Assault,56,F,Firearm,6,28.75186612874002,77.3699189482544
NCRB_32496,2022-03-18,15:51,Delhi,120,Kidnapping,19,F,Blunt Object,1,28.75042110643714,77.33588245043445
NCRB_32497,2022-09-22,13:13,Delhi,457,Burglary,41,Unknown,Unknown,1,28.728127395846485,77.03383450879105
NCRB_32498,2023-04-10,12:09,Delhi,593,Homicide,24,F,Blunt Object,9,28.573099287446915,77.14245874326271
NCRB_32499,2022-03-27,18:17,Delhi,356,Theft/Robbery,63,M,Unknown,9,28.607448559238566,77.09586099333126
NCRB_32500,2023-07-13,21:32,Delhi,506,Burglary,64,M,Blunt Object,7,28.50786731091526,77.40629550308307
NCRB_32501,2022-02-24,22:51,Delhi,693,Assault,63,Unknown,Firearm,6,28.80370217546387,77.13981401843644
NCRB_32502,2022-08-23,10:06,Delhi,799,Theft/Robbery,47,Unknown,Knife,1,28.5981576088436,77.20683765092389
NCRB_32503,2023-07-12,19:57,Delhi,496,Assault,45,Unknown,Firearm,7,28.683963938748622,77.3042090771047
NCRB_32504,2023-10-26,05:55,Delhi,833,Drug Offense,62,Unknown,Unknown,3,28.633190109836207,77.15338176989069
NCRB_32505,2023-09-25,22:01,Delhi,703,Kidnapping,60,Unknown,Knife,10,28.598851596130007,77.16743571754725
NCRB_32506,2023-04-02,04:18,Delhi,655,Homicide,32,F,,5,28.68169309192009,77.25145377702228
NCRB_32507,2022-12-08,10:17,Delhi,508,Assault,18,Unknown,,10,28.61417852798388,77.1929871180765
NCRB_32508,2023-07-17,17:04,Delhi,682,Kidnapping,35,Unknown,,1,28.528252641693403,77.07541684239638
NCRB_32509,2023-07-21,05:34,Delhi,402,Kidnapping,21,M,Unknown,3,28.691535194598167,77.39108506207235
NCRB_32510,2022-02-01,13:31,Delhi,366,Theft/Robbery,45,Unknown,Knife,1,28.754040920566847,77.0206062306295
NCRB_32511,2022-09-03,11:07,Delhi,577,Theft/Robbery,64,Unknown,Blunt Object,2,28.576173807941583,77.17904914253768
NCRB_32512,2023-10-08,08:58,Delhi,342,Theft/Robbery,22,F,,8,28.696775697772413,77.01076134970384
NCRB_32513,2022-12-06,13:36,Delhi,514,Drug Offense,63,F,Knife,3,28.417421965286778,77.12108961954868
NCRB_32514,2022-04-14,07:19,Delhi,372,Burglary,32,Unknown,,7,28.416248885764524,77.07317138851533
NCRB_32515,2023-03-16,06:37,Delhi,661,Drug Offense,34,M,Firearm,9,28.53319570889226,77.16377961280998
NCRB_32516,2023-02-19,12:05,Delhi,212,Homicide,18,M,Unknown,0,28.67011199619196,77.4028262968827
NCRB_32517,2023-10-06,22:19,Delhi,426,Theft/Robbery,57,M,Firearm,3,28.54181549793935,77.20213041890746
NCRB_32518,2022-04-01,14:04,Delhi,588,Kidnapping,30,M,Knife,7,28.46432442651001,77.32599172702385
NCRB_32519,2023-11-10,06:03,Delhi,123,Homicide,53,M,Firearm,9,28.59047815333289,77.2874041577079
NCRB_32520,2022-12-01,20:36,Delhi,265,Assault,32,Unknown,Knife,1,28.7037929847882,77.38191482317033
NCRB_32521,2022-01-20,14:48,Delhi,899,Assault,24,M,Unknown,10,28.564992563026216,77.1423776836638
NCRB_32522,2023-12-27,04:48,Delhi,976,Assault,36,M,Knife,2,28.624223803861,77.34296563157989
NCRB_32523,2023-10-03,06:11,Delhi,658,Homicide,64,Unknown,Blunt Object,6,28.471362463439224,77.26916512256648
NCRB_32524,2022-06-22,19:31,Delhi,141,Kidnapping,56,Unknown,Knife,5,28.55504234986769,77.16674490645588
NCRB_32525,2023-04-22,05:37,Delhi,450,Drug Offense,20,F,Knife,5,28.73628023316432,77.12473265440525
NCRB_32526,2022-01-02,05:15,Delhi,961,Kidnapping,30,F,Firearm,0,28.48374482340804,77.06071530812466
NCRB_32527,2022-11-24,04:06,Delhi,774,Theft/Robbery,56,F,Blunt Object,4,28.42739018056949,77.2237147219853
NCRB_32528,2023-03-28,19:53,Delhi,592,Theft/Robbery,18,M,Firearm,2,28.733249323230776,77.17782168152819
NCRB_32529,2022-09-22,06:18,Delhi,742,Theft/Robbery,29,M,Unknown,0,28.55520704769695,77.36683775715437
NCRB_32530,2022-12-12,23:36,Delhi,813,Homicide,62,Unknown,,2,28.59144246753431,77.08741821473578
NCRB_32531,2023-11-07,06:24,Delhi,537,Homicide,52,F,Unknown,0,28.68446700423512,77.10999218231744
NCRB_32532,2023-07-18,17:13,Delhi,331,Kidnapping,33,F,Firearm,3,28.4591305313486,77.38833036102119
